exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-2MAR25-84000-C,2025-02-28 23:59:59.038,2025-03-01 00:00:00.598972,call,84000.0,2025-03-02 08:00:00,165.6,0.011,0.0085,28.6,26.34,0.01,22.6,32.73,0.0098,31.84,SYN.BTC-2MAR25,84332.0487,0.58498,0.00024,19.87103,-237.23074,1.77195
deribit,BTC-14MAR25-84000-C,2025-03-01 00:00:00.046,2025-03-01 00:00:00.420520,call,84000.0,2025-03-14 08:00:00,24.4,0.039,0.0385,26.5,46.45,0.04,25.7,48.43,0.0391,47.22,BTC-14MAR25,84526.59,0.54553,5e-05,64.03034,-113.36993,15.63784
deribit,BTC-14MAR25-84000-P,2025-03-01 00:00:00.046,2025-03-01 00:00:00.525190,put,84000.0,2025-03-14 08:00:00,184.0,0.034,0.0325,0.6,46.76,0.0335,54.2,48.08,0.0328,47.22,BTC-14MAR25,84526.64,-0.45447,5e-05,64.03033,-113.36991,-15.04701
deribit,BTC-14MAR25-85000-P,2025-03-01 00:00:00.616,2025-03-01 00:00:00.708692,put,85000.0,2025-03-14 08:00:00,239.1,0.038,0.038,0.7,45.3,0.039,11.4,47.27,0.0385,46.63,BTC-14MAR25,84526.59,-0.50722,5e-05,64.43995,-112.68218,-16.85084
deribit,BTC-3MAR25-84000-C,2025-03-01 00:00:00.689,2025-03-01 00:00:00.810822,call,84000.0,2025-03-03 08:00:00,39.5,0.015,0.015,27.8,40.31,0.016,0.7,45.06,0.016,43.37,SYN.BTC-3MAR25,84348.0359,0.55431,0.00014,26.6549,-247.74343,2.90282
deribit,BTC-14MAR25-84000-C,2025-03-01 00:00:00.713,2025-03-01 00:00:00.723130,call,84000.0,2025-03-14 08:00:00,24.4,0.039,0.0385,27.3,46.45,0.0395,0.8,48.43,0.0391,47.22,BTC-14MAR25,84526.59,0.54553,5e-05,64.03034,-113.36993,15.63784
deribit,BTC-21MAR25-83000-C,2025-03-01 00:00:00.734,2025-03-01 00:00:01.211450,call,83000.0,2025-03-21 08:00:00,4.5,0.035,0.0545,0.7,46.72,0.056,28.8,48.9,0.0549,47.67,SYN.BTC-21MAR25,84653.565,0.59157,4e-05,77.60109,-90.96891,25.30975
deribit,BTC-28MAR25-85000-P,2025-03-01 00:00:00.744,2025-03-01 00:00:01.708455,put,85000.0,2025-03-28 08:00:00,2498.0,0.0535,0.0525,18.9,46.87,0.0535,14.8,47.78,0.053,47.33,BTC-28MAR25,84780.84,-0.48212,4e-05,92.46371,-80.05443,-33.97459
deribit,BTC-28MAR25-85000-C,2025-03-01 00:00:00.747,2025-03-01 00:00:01.591887,call,85000.0,2025-03-28 08:00:00,2916.8,0.0515,0.05,25.5,46.95,0.0505,1.0,47.4,0.0504,47.33,BTC-28MAR25,84780.84,0.51788,4e-05,92.46371,-80.05443,29.67838
deribit,BTC-28MAR25-84000-C,2025-03-01 00:00:00.747,2025-03-01 00:00:01.399389,call,84000.0,2025-03-28 08:00:00,192.0,0.0535,0.0555,31.4,46.74,0.0565,0.8,48.13,0.0563,47.48,BTC-28MAR25,84780.84,0.55416,4e-05,91.70241,-79.65006,31.60872
